mowgli-openmower | [ WARN] [1726489418.257744767]: Low quality GPS
mowgli-openmower | [ WARN] [1726489418.257958525]: GPS timeout
mowgli-openmower | [ INFO] [1726489418.482231351]: dropping GPS update, since gps_enabled = false.
mowgli-openmower | [ INFO] [1726489419.482958305]: dropping GPS update, since gps_enabled = false.
mowgli-openmower | [ WARN] [1726489419.757676234]: Low quality GPS
mowgli-openmower | [ WARN] [1726489419.757817733]: GPS timeout
mowgli-openmower | [ INFO] [1726489420.579215707]: dropping GPS update, since gps_enabled = false.
mowgli-openmower | [ INFO] [1726489420.699730736]: Got action: mower_logic:idle/start_mowing
mowgli-openmower | [WARN] [1726489420.701526]: Found packet, but checksums didn't match
mowgli-openmower | [ INFO] [1726489420.702166626]: Got start_mowing command
mowgli-openmower | [WARN] [1726489420.708626]: Expected Checksum: 0x5FFA82
mowgli-openmower | [WARN] [1726489420.715206]: Actual Checksum:   0x51058E
mowgli-openmower | [ INFO] [1726489420.743185296]: successfully set GPS to 1
mowgli-openmower | [ INFO] [1726489420.748447277]: new actions registered: mower_logic:idle registered 2 actions.
mowgli-openmower | [ INFO] [1726489420.751556107]: successfully registered actions for mower_logic:idle
mowgli-openmower | [ INFO] [1726489420.753037374]:
mowgli-openmower | [ INFO] [1726489420.753371483]:
mowgli-openmower | [ INFO] [1726489420.753626259]: --------------------------------------
mowgli-openmower | [ INFO] [1726489420.753966127]: - Entered state: MOWING
mowgli-openmower | [ INFO] [1726489420.755134341]: --------------------------------------
mowgli-openmower | [ WARN] [1726489420.757790822]: Low quality GPS
mowgli-openmower | [ WARN] [1726489420.758001968]: GPS timeout
mowgli-openmower | [ INFO] [1726489420.762500936]: new actions registered: mower_logic:mowing registered 5 actions.
mowgli-openmower | [ INFO] [1726489420.765986152]: successfully registered actions for mower_logic:mowing
mowgli-openmower | [ INFO] [1726489420.766399538]: MowingBehavior: Creating mowing plan for area: 0
mowgli-openmower | [ INFO] [1726489420.771970183]: Got getMowingArea call with index: 0
mowgli-openmower | [ INFO] [1726489420.773185767]: MowingBehavior: Detected mow angle: 1.78263
mowgli-openmower | [ INFO] [1726489420.773331563]: MowingBehavior: mowing angle offset (deg): 0
mowgli-openmower | [ INFO] [1726489420.773418710]: MowingBehavior: Auto-detected mowing angle + mowing angle offset: 1.78263
mowgli-openmower | [ WARN] [1726489420.778159787]: Last GPS was 54.491 seconds ago.
mowgli-openmower | [ INFO] [1726489420.783291862]: generating 4 outlines
mowgli-openmower | [ INFO] [1726489420.803338978]: Starting Fill. Poly size:108
mowgli-openmower | [ INFO] [1726489420.809286991]: Fill Complete. Polyline count: 1
mowgli-openmower | [ INFO] [1726489420.809693414]: Polyline 0 has point count: 134
mowgli-openmower | [ INFO] [1726489420.809995134]: Got 122 points
mowgli-openmower | [ INFO] [1726489420.811086312]: Got 130 points
mowgli-openmower | [ INFO] [1726489420.812065601]: Got 139 points
mowgli-openmower | [ INFO] [1726489420.812993835]: Got 147 points
mowgli-openmower | [ INFO] [1726489420.814495287]: Got 636 points
mowgli-openmower | [ INFO] [1726489420.842781771]: MowingBehavior: Advancing to checkpoint, path: 1 index: 278
mowgli-openmower | [ INFO] [1726489420.843000269]: MowingBehavior: Executing mowing plan
mowgli-openmower | [ INFO] [1726489420.843256193]: MowingBehavior: Path segment length: 636 poses.
mowgli-openmower | [ INFO] [1726489420.843636672]: MowingBehavior: (FIRST POINT)  Moving to path segment starting point
mowgli-openmower | [ INFO] [1726489420.865874162]: FTCLocalPlannerROS: Got new global plan with 72 points.
mowgli-openmower | [ INFO] [1726489421.877948016]: GPS data now valid
mowgli-openmower | [ INFO] [1726489421.878053015]: First GPS data, moving kalman filter to -2.54663, -12.5222
mowgli-openmower | [ INFO] [1726489422.257634752]: GPS quality: 0.93
mowgli-openmower | [ WARN] [1726489422.257745418]: GPS timeout
mowgli-openmower | [WARN] [1726489425.100331]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489425.104580]: Expected Checksum: 0xAC2578
mowgli-openmower | [WARN] [1726489425.108582]: Actual Checksum:   0xD7F950
mowgli-openmower | [WARN] [1726489425.113635]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489425.117906]: Expected Checksum: 0xA39816
mowgli-openmower | [WARN] [1726489425.122058]: Actual Checksum:   0xEC7EA7
mowgli-openmower | [ INFO] [1726489425.211277866]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
mowgli-openmower | [ INFO] [1726489425.211415254]: FTCLocalPlannerROS: Switching to state 1
mowgli-openmower | [WARN] [1726489425.800304]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489425.804394]: Expected Checksum: 0x5164CD
mowgli-openmower | [WARN] [1726489425.808147]: Actual Checksum:   0x5B4078
mowgli-openmower | [WARN] [1726489426.400709]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489426.406672]: Expected Checksum: 0xEA9FED
mowgli-openmower | [WARN] [1726489426.412830]: Actual Checksum:   0x39B9F1
mowgli-openmower | [ WARN] [1726489427.448202335]: got vx > 0.6 (-1.81818) - dropping measurement
mowgli-openmower | [ WARN] [1726489427.468382895]: got vx > 0.6 (-1.86047) - dropping measurement
mowgli-openmower | [ WARN] [1726489427.489418782]: got vx > 0.6 (-1.22396) - dropping measurement
mowgli-openmower | [ WARN] [1726489427.510882110]: got vx > 0.6 (-0.901961) - dropping measurement
mowgli-openmower | [ WARN] [1726489427.531167169]: got vx > 0.6 (0.920635) - dropping measurement
mowgli-openmower | [ WARN] [1726489427.553534380]: got vx > 0.6 (0.78125) - dropping measurement
mowgli-openmower | [ WARN] [1726489427.574266417]: got vx > 0.6 (0.693512) - dropping measurement
mowgli-openmower | [ WARN] [1726489427.595206323]: got vx > 0.6 (0.617647) - dropping measurement
mowgli-openmower | [WARN] [1726489429.700765]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489429.706696]: Expected Checksum: 0x284830
mowgli-openmower | [WARN] [1726489429.712449]: Actual Checksum:   0xCB801E
mowgli-openmower | [ERROR] [1726489429.716609912]: FTCLocalPlannerROS: Robot is far away from global plan. distance (0.801453) > config.max_follow_distance (0.8) It probably has crashed.
mowgli-openmower | [ INFO] [1726489429.716938243]: FTCLocalPlannerROS: Switching to state 4
mowgli-openmower | [ WARN] [1726489429.717596294]: No velocity command received from controller!
mowgli-openmower | [WARN] [1726489429.721929]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489429.728338]: Expected Checksum: 0x63D5C7
mowgli-openmower | [WARN] [1726489429.734891]: Actual Checksum:   0x255563
mowgli-openmower | [WARN] [1726489430.800501]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489430.804935]: Expected Checksum: 0xE9AA0A
mowgli-openmower | [WARN] [1726489430.808845]: Actual Checksum:   0x6A9E49
mowgli-openmower | [WARN] [1726489430.813178]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489430.817065]: Expected Checksum: 0x914EEF
mowgli-openmower | [WARN] [1726489430.820800]: Actual Checksum:   0x420714
mowgli-openmower | [ INFO] [1726489432.257639322]: GPS quality: 0.93
mowgli-openmower | [WARN] [1726489432.700253]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489432.704288]: Expected Checksum: 0xE1A874
mowgli-openmower | [WARN] [1726489432.708338]: Actual Checksum:   0xC68CD8
mowgli-openmower | [ WARN] [1726489432.761028602]: No velocity command received from controller!
mowgli-openmower | [WARN] [1726489432.800191]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489432.804513]: Expected Checksum: 0x1C811A
mowgli-openmower | [WARN] [1726489432.809118]: Actual Checksum:   0x1A64DC
mowgli-openmower | [ WARN] [1726489434.710965302]: The controller has been aborted after it exceeded the patience time
