fred@cm4:~/mowgli-docker $ sudo docker compose top openmower
mowgli-openmower
UID    PID    PPID   C    STIME   TTY     TIME       CMD
root   1804   1784   0    13:48   pts/1   00:00:00   /bin/bash /home/ubuntu/scripts/start_mowgli.sh                                                                                                                                          
root   1854   1804   0    13:48   pts/1   00:01:33   /usr/bin/python3 /opt/ros/noetic/bin/roslaunch open_mower open_mower.launch                                                                                                             
root   1869   1854   2    13:48   ?       00:05:30   /opt/open_mower_ros/devel/lib/xbot_driver_gps/driver_gps_node /rtcm:=/ntrip_client/rtcm ~wheel_ticks:=/mower/wheel_ticks __name:=xbot_driver_gps __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/xbot_driver_gps-1.log
root   1870   1854   4    13:48   ?       00:09:56   /opt/ros/noetic/lib/mbf_costmap_nav/mbf_costmap_nav cmd_vel:=/nav_vel __name:=move_base_flex __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/move_base_flex-2.log            
root   1871   1854   1    13:48   ?       00:02:27   python3 /opt/ros/noetic/lib/mbf_costmap_nav/move_base_legacy_relay.py __name:=move_base_legacy_relay __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/move_base_legacy_relay-3.log
root   1876   1854   10   13:48   ?       00:23:40   /opt/open_mower_ros/devel/lib/xbot_positioning/xbot_positioning ~imu_in:=/imu/data_raw ~wheel_ticks_in:=/mower/wheel_ticks ~xb_pose_in:=xbot_driver_gps/xb_pose ~xb_pose_out:=xbot_positioning/xb_pose __name:=xbot_positioning __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/xbot_positioning-4.log
root   1885   1854   0    13:48   ?       00:00:28   /opt/ros/noetic/lib/joy/joy_node /joy:=/teleop_joy __name:=joy __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/joy-5.log                                                     
root   1888   1854   0    13:48   ?       00:00:18   python3 /opt/ros/noetic/lib/joy_teleop/joy_teleop.py /joy:=/teleop_joy __name:=joy_teleop __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/joy_teleop-6.log                   
root   1902   1854   0    13:48   ?       00:00:33   /opt/open_mower_ros/devel/lib/mower_map/mower_map_service __name:=map_service __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/map_service-7.log                              
root   1905   1854   3    13:48   ?       00:08:18   /opt/open_mower_ros/devel/lib/mower_logic/mower_logic __name:=mower_logic __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/mower_logic-8.log                                  
root   1912   1854   0    13:48   ?       00:00:32   /opt/prebuilt/slic3r_coverage_planner/lib/slic3r_coverage_planner/slic3r_coverage_planner __name:=slic3r_coverage_planner __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/slic3r_coverage_planner-9.log
root   1922   1854   1    13:48   ?       00:03:31   /opt/ros/noetic/lib/twist_mux/twist_mux cmd_vel_out:=/cmd_vel __name:=twist_mux __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/twist_mux-10.log                             
root   1923   1854   4    13:48   ?       00:10:47   /opt/open_mower_ros/devel/lib/xbot_monitoring/xbot_monitoring /xbot_monitoring/remote_cmd_vel:=/joy_vel __name:=xbot_monitoring __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/xbot_monitoring-11.log
root   1925   1854   1    13:48   ?       00:04:21   /opt/open_mower_ros/devel/lib/xbot_monitoring/heatmap_generator __name:=heatmap_generator __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/heatmap_generator-12.log           
root   1937   1854   0    13:48   ?       00:00:31   /opt/open_mower_ros/devel/lib/xbot_remote/xbot_remote /xbot_remote/cmd_vel:=/joy_vel __name:=xbot_remote __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/xbot_remote-13.log  
root   1946   1854   2    13:48   ?       00:05:39   /opt/open_mower_ros/devel/lib/mower_logic/monitoring __name:=monitoring __log:=/root/.ros/log/682fbf06-4bd5-11ee-83a7-e45f01eed9d7/monitoring-14.log      
