open_mower_ros  | [WARN] [1781527963.935538995]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527963.975588515]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527963.993686570]: [ID=1] no endpoint for service
open_mower_ros  | [WARN] [1781527963.993843003]: [ID=3] no endpoint for service
open_mower_ros  | [WARN] [1781527964.015545861]: [ID=2] no endpoint for service
open_mower_ros  | [INFO] [1781527964.044528477]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=0 imu_calibration_age_s=-1 gps_age_s=-1
open_mower_ros  | [WARN] [1781527964.055580108]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.095556852]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.124754071]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.135549449]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.175593419]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.215598609]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.255561964]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.272774118]: [ID=6] no endpoint for service
open_mower_ros  | [WARN] [1781527964.273375869]: [ID=6] no endpoint for service
open_mower_ros  | [WARN] [1781527964.295574784]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.335555270]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.375575572]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.415566502]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.455550321]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.493698291]: [ID=1] no endpoint for service
open_mower_ros  | [WARN] [1781527964.495540473]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.535539719]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.575571651]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.591563190]: Costmap2DROS transform timeout. Current time: 1781527964.5915, global_pose stamp: 1781527846.2474, tolerance: 0.3000
open_mower_ros  | [WARN] [1781527964.615563748]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.624666821]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.655525344]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.695559794]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.735579411]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.775620900]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.815592033]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.855575648]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.895568874]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.935567120]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.975593459]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527964.993695452]: [ID=1] no endpoint for service
open_mower_ros  | [WARN] [1781527965.015576922]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.055591118]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.095574109]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.124747280]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.135565600]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.175596556]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.215615437]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.255570371]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.272766425]: [ID=6] no endpoint for service
open_mower_ros  | [WARN] [1781527965.273266394]: [ID=6] no endpoint for service
open_mower_ros  | [WARN] [1781527965.295572566]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.335560613]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.375610570]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.415570263]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.455561217]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.493701489]: [ID=1] no endpoint for service
open_mower_ros  | [WARN] [1781527965.495561394]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.535561533]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.575580155]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.615572683]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.624679032]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.655543118]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.695566277]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.735594844]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.746107538]: Costmap2DROS transform timeout. Current time: 1781527965.7461, global_pose stamp: 1781527846.2474, tolerance: 0.3000
open_mower_ros  | [WARN] [1781527965.775614374]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.815611884]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.855570262]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.895562049]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.935542929]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.975593645]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527965.993684372]: [ID=1] no endpoint for service
open_mower_ros  | [WARN] [1781527966.015545390]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.055577462]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.095551106]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.124737860]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.135551510]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.175603842]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.215598820]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.255572112]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.272765087]: [ID=6] no endpoint for service
open_mower_ros  | [WARN] [1781527966.273257296]: [ID=6] no endpoint for service
open_mower_ros  | [WARN] [1781527966.295568850]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.335554549]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.375632457]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.415572692]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.455760531]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.493726023]: [ID=1] no endpoint for service
open_mower_ros  | [WARN] [1781527966.495588686]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.535595183]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.576749106]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.615636086]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.624760895]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.655621082]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.696058360]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.735833957]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.746114451]: Costmap2DROS transform timeout. Current time: 1781527966.7461, global_pose stamp: 1781527846.2474, tolerance: 0.3000
open_mower_ros  | [WARN] [1781527966.776016018]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.815588975]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.855483152]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.895481594]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.935470405]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.975509366]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527966.993679869]: [ID=1] no endpoint for service
open_mower_ros  | [WARN] [1781527967.015478321]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.055512398]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.095483825]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.124727703]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.135467678]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.175496737]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.215505092]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.255475111]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.272652190]: [ID=6] no endpoint for service
open_mower_ros  | [WARN] [1781527967.272697211]: [ID=6] no endpoint for service
open_mower_ros  | [WARN] [1781527967.295496133]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.335473467]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.375521805]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.415503454]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.455470770]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.493686835]: [ID=1] no endpoint for service
open_mower_ros  | [WARN] [1781527967.495471087]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.535481941]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.575542279]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.615505280]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.624618363]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.655457520]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.695491524]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.735501045]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.775524900]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.791546091]: Costmap2DROS transform timeout. Current time: 1781527967.7915, global_pose stamp: 1781527846.2474, tolerance: 0.3000
open_mower_ros  | [WARN] [1781527967.815531477]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.855487903]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.895487664]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.935487963]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.975512244]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527967.993681389]: [ID=1] no endpoint for service
open_mower_ros  | [WARN] [1781527968.015497334]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.055509694]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.095500627]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.124659361]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.135479430]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.175519328]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.215517632]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.255474804]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.272427533]: [ID=6] no endpoint for service
open_mower_ros  | [WARN] [1781527968.272843831]: [ID=6] no endpoint for service
open_mower_ros  | [WARN] [1781527968.295490979]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.335530155]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.375518995]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.415491983]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.455463582]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.493685208]: [ID=1] no endpoint for service
open_mower_ros  | [WARN] [1781527968.495470682]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.535465097]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.575503106]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.615496984]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.624489225]: om_mower_logic: EMERGENCY pose values stopped. dt was: 122.376865962
open_mower_ros  | [WARN] [1781527968.624867372]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.655464860]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.695489128]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.735507192]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1781527968.775515515]: [ID=2] no endpoint for service
