open_mower_ros  | [INFO] [1781530110.643703953]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=541.39
open_mower_ros  | [INFO] [1781530116.816591684]: Got action: mower_logic:idle/start_mowing
open_mower_ros  | [INFO] [1781530116.817170634]: Got start_mowing command
open_mower_ros  | [INFO] [1781530116.838054816]: Currently inside the docking station, we set the robot's pose to the docks pose.
open_mower_ros  | [INFO] [1781530116.838231442]: Monitoring received new mower_logic config
open_mower_ros  | [INFO] [1781530116.838831559]: Got sensor info for sensor on topic Battery Current on topic /xbot_monitoring/sensors/om_bms_current/info
open_mower_ros  | [INFO] [1781530116.839267642]: Got sensor info for sensor on topic Charge Cycles on topic /xbot_monitoring/sensors/om_bms_cycle_count/info
open_mower_ros  | [INFO] [1781530116.839525099]: Got sensor info for sensor on topic Full Charge Capacity on topic /xbot_monitoring/sensors/om_bms_full_charge_capacity/info
open_mower_ros  | [INFO] [1781530116.839856889]: Got sensor info for sensor on topic Remaining Capacity on topic /xbot_monitoring/sensors/om_bms_remaining_capacity/info
open_mower_ros  | [INFO] [1781530116.840094921]: Got sensor info for sensor on topic State of Charge on topic /xbot_monitoring/sensors/om_bms_soc/info
open_mower_ros  | [INFO] [1781530116.840426580]: Got sensor info for sensor on topic Battery Temp on topic /xbot_monitoring/sensors/om_bms_temp/info
open_mower_ros  | [INFO] [1781530116.842154247]: Got sensor info for sensor on topic Charge Current on topic /xbot_monitoring/sensors/om_charge_current/info
open_mower_ros  | [INFO] [1781530116.842378798]: Got sensor info for sensor on topic Charge State on topic /xbot_monitoring/sensors/om_charge_state/info
open_mower_ros  | [INFO] [1781530116.842692124]: Got sensor info for sensor on topic GPS Accuracy on topic /xbot_monitoring/sensors/om_gps_accuracy/info
open_mower_ros  | [INFO] [1781530116.843272389]: Got sensor info for sensor on topic GPS Fix Type on topic /xbot_monitoring/sensors/om_gps_fix_type/info
open_mower_ros  | [INFO] [1781530116.843379665]: Got sensor info for sensor on topic GPS Heading Accuracy on topic /xbot_monitoring/sensors/om_gps_heading_accuracy/info
open_mower_ros  | [INFO] [1781530116.843414035]: Got sensor info for sensor on topic GPS PDOP on topic /xbot_monitoring/sensors/om_gps_pdop/info
open_mower_ros  | [INFO] [1781530116.843478774]: Got sensor info for sensor on topic GPS Quality on topic /xbot_monitoring/sensors/om_gps_quality/info
open_mower_ros  | [INFO] [1781530116.843546661]: new actions registered: mower_logic:idle registered 2 actions.
open_mower_ros  | [INFO] [1781530116.844129112]: successfully registered actions for mower_logic:idle
open_mower_ros  | [INFO] [1781530116.844270109]: Got sensor info for sensor on topic GPS Satellites on topic /xbot_monitoring/sensors/om_gps_satellites/info
open_mower_ros  | [INFO] [1781530116.844632934]: 
open_mower_ros  | [INFO] [1781530116.844665563]: 
open_mower_ros  | [INFO] [1781530116.844681581]: --------------------------------------
open_mower_ros  | [INFO] [1781530116.844701507]: - Entered state: UNDOCKING
open_mower_ros  | [INFO] [1781530116.844719210]: --------------------------------------
