Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",1206,3,2.2uF/50V,C2903669
"C10, C8, C9",603,3,470nF/16V,C354393
C11,603,1,22nF/100V,C376821
"C12, C13, C14",805,3,100nF/100V,C376922
"C15, C27, C28, C29, C30, C31, C45, C46, C47, R13",603,10,DNP,
"C20, C21",1206,2,10uF/25V,C5141284
"C24, C25, C26",603,3,1nF/100V,C282513
"C32, C33",603,2,15pF,C2836768
"C34, C37, C40, C41, C42, C43, C44, C6, C7",603,9,.1uF/50V,C376851
"C35, C36, C38, C39, C4, C5",805,6,2.2uF/25V,C668356
"D2, D4, D5",603,3,LED,C510032
D3,D_SOD-123,1,D_Schottky,
"FID1, FID2, FID3, FID4, FID5, FID6, FID7, FID8",Fiducial_0.75mm_Mask1.5mm,8,Fiducial,
"J1, J10, J9",PinHeader_1x06_P2.54mm_Vertical,3,Conn_01x06_Male,C2935912
J2,XKB_U254-051T-4BH83-F1S,1,U254-051T-4BH83-F1S,C397452
"J3, J4",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Male,C2935911
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,C2935909
"J6, J7, J8",PinHeader_2x02_P2.54mm_Vertical,3,Conn_02x02_Counter_Clockwise,C124362
"Q1, Q2, Q3, Q4, Q5, Q6",TDSON-8-1,6,BSC026N08NS5,C919592
"R1, R10, R2, R5, R6, R9",603,6,2R2,C912496
"R11, R3, R7",2512,3,33mR,C2889925
"R12, R4, R8",603,3,10R,C441910
"R14, R15, R29, R30, R41",603,5,10k,C98220
"R16, R37, R38",603,3,150R,
"R17, R19, R21, R24, R26, R28, R40",603,7,1k5,
"R18, R20, R22, R33, R34, R35",603,6,2k2,
"R23, R25, R27, R39",603,4,22k,
"R31, R32",603,2,22R,
R36,603,1,120R,
TH1,603,1,Thermistor_NTC,
U1,TMC6200-TA,1,TMC6200-TA,C915798
U2,SOT-23-5,1,XC6220B331MR,C86534
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742 
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD232,C30530
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
