Fault Time,Fault Id,Fault Action,Voltage,Current,SOC,Charge MOS,Discharge MOS,Max Voltage,Max Voltage Index,Min Voltage,Min Voltage Index,Max Temperature,Max Temperature Index,Min Temperature,Min Temperature Index,Fault Code
2026-04-09 22:46:06,实时数据,Appear,28.3V,0.0A,83.50%,ON,ON,4.050V,1,4.044V,4,26°C,1,24°C,2,fd
2026-04-09 20:46:05,实时数据,Appear,28.3V,0.0A,83.90%,ON,ON,4.059V,1,4.051V,4,27°C,1,24°C,2,fd
2026-04-09 18:46:05,实时数据,Appear,28.4V,0.0A,84.40%,ON,ON,4.067V,1,4.059V,4,27°C,1,24°C,2,fd
2026-04-09 16:46:03,实时数据,Appear,28.4V,0.0A,84.70%,ON,ON,4.072V,1,4.063V,4,27°C,1,25°C,2,fd
2026-04-09 14:46:02,实时数据,Appear,28.5V,0.0A,85.10%,ON,ON,4.075V,1,4.067V,4,27°C,1,24°C,2,fd
2026-04-09 12:46:01,实时数据,Appear,28.5V,0.0A,85.50%,ON,ON,4.078V,1,4.070V,4,26°C,1,24°C,2,fd
2026-04-09 10:46:00,实时数据,Appear,28.5V,0.0A,85.90%,ON,ON,4.081V,2,4.072V,4,26°C,1,24°C,2,fd
2026-04-09 08:45:58,实时数据,Appear,28.5V,0.0A,86.30%,ON,ON,4.083V,2,4.075V,4,27°C,1,24°C,2,fd
2026-04-09 06:45:58,实时数据,Appear,28.5V,0.0A,86.70%,ON,ON,4.086V,1,4.079V,4,27°C,1,24°C,2,fd
2026-04-09 04:45:56,实时数据,Appear,28.6V,0.0A,87.10%,ON,ON,4.091V,2,4.082V,4,27°C,1,24°C,2,fd
2026-04-09 02:45:55,实时数据,Appear,28.6V,0.0A,87.50%,ON,ON,4.095V,1,4.088V,4,27°C,1,25°C,2,fd
2026-04-09 00:45:54,实时数据,Appear,28.6V,0.0A,87.90%,ON,ON,4.098V,1,4.091V,4,28°C,1,25°C,2,fd
2026-04-08 22:45:54,实时数据,Appear,28.6V,0.3A,86.00%,ON,ON,4.091V,1,4.083V,4,27°C,1,25°C,2,fd
2026-04-08 20:45:52,实时数据,Appear,28.4V,0.0A,83.40%,ON,ON,4.063V,1,4.056V,4,27°C,1,24°C,2,fd
2026-04-08 18:45:52,实时数据,Appear,28.4V,0.0A,83.80%,ON,ON,4.070V,2,4.060V,4,27°C,1,25°C,2,fd
2026-04-08 16:45:50,实时数据,Appear,28.4V,0.0A,84.20%,ON,ON,4.073V,1,4.064V,4,27°C,1,24°C,2,fd
2026-04-08 14:45:49,实时数据,Appear,28.5V,0.0A,84.60%,ON,ON,4.076V,1,4.069V,4,27°C,1,24°C,2,fd
2026-04-08 12:45:48,实时数据,Appear,28.5V,0.0A,85.00%,ON,ON,4.078V,1,4.072V,4,27°C,1,24°C,2,fd
2026-04-08 10:45:47,实时数据,Appear,28.5V,0.0A,85.40%,ON,ON,4.082V,2,4.073V,4,27°C,1,24°C,2,fd
2026-04-08 08:45:47,实时数据,Appear,28.5V,0.0A,85.70%,ON,ON,4.083V,1,4.076V,4,27°C,1,24°C,2,fd
2026-04-08 06:45:46,实时数据,Appear,28.5V,0.0A,86.10%,ON,ON,4.088V,2,4.079V,4,27°C,1,24°C,2,fd
2026-04-08 04:45:44,实时数据,Appear,28.6V,0.0A,86.50%,ON,ON,4.091V,1,4.083V,4,27°C,1,24°C,2,fd
2026-04-08 02:45:43,实时数据,Appear,28.6V,0.0A,86.90%,ON,ON,4.098V,1,4.092V,4,28°C,1,25°C,2,fd
2026-04-08 02:04:44,单体电压过高,Appear,28.6V,0.0A,87.00%,ON,ON,4.100V,2,4.092V,4,28°C,1,26°C,2,64
2026-04-08 00:45:43,实时数据,Appear,28.6V,0.3A,87.20%,ON,ON,4.098V,1,4.091V,4,28°C,1,26°C,2,fd
2026-04-07 22:45:42,实时数据,Appear,28.5V,0.0A,84.60%,ON,ON,4.075V,1,4.067V,4,27°C,1,25°C,2,fd
2026-04-07 20:45:40,保护板开机,Appear,28.5V,0.0A,85.00%,ON,ON,4.079V,3,4.072V,4,25°C,1,25°C,1,ff
2026-04-07 19:13:44,保护板关机,Appear,28.5V,0.0A,85.00%,ON,ON,4.081V,1,4.072V,4,27°C,1,24°C,2,fe
2026-04-07 19:13:13,保护板开机,Appear,28.5V,0.0A,85.00%,ON,ON,4.081V,1,4.073V,4,25°C,1,25°C,1,ff
2026-04-07 13:13:09,保护板关机,Appear,28.6V,0.0A,85.00%,ON,ON,4.089V,1,4.082V,4,28°C,1,25°C,2,fe
2026-04-07 12:09:41,实时数据,Appear,28.6V,0.0A,85.20%,ON,ON,4.098V,1,4.091V,4,28°C,1,26°C,2,fd
2026-04-07 10:09:40,实时数据,Appear,28.6V,0.3A,84.10%,ON,ON,4.097V,1,4.088V,4,28°C,1,26°C,2,fd
2026-04-07 08:09:38,实时数据,Appear,28.4V,0.3A,79.20%,ON,ON,4.063V,2,4.054V,4,28°C,1,26°C,2,fd
