sfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398323.767208214]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398323.859067512]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398323.859145844]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398324.359124779]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398324.359040929]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398324.767710223]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398324.860127677]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398324.860497282]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398325.358757099]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398325.359171925]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398325.767436355]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398325.858840809]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398325.859050657]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398326.359144238]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398326.359232718]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398326.767448075]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398326.859025896]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398326.859253559]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398327.359100903]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398327.358908202]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398327.767541663]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398327.858692621]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398327.858784749]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398328.358671129]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398328.358790146]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398328.767518808]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398328.859204738]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398328.859121480]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398329.358955546]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398329.358754346]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398329.768298716]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398329.861542544]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398329.861944426]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398330.359194797]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398330.359325424]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398330.768624576]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398330.858915142]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398330.858821662]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398331.358688800]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398331.358598635]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398331.769174283]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398331.859143577]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398331.859273167]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398332.358806237]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398332.358718461]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398332.769150112]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398332.858964157]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398332.858880936]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398333.358947570]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398333.359032642]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398333.769162894]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398333.858982901]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398333.859115028]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398334.358907293]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398334.358742260]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398334.770023251]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398334.858972851]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398334.858868427]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398335.363164604]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398335.363326620]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398335.770007599]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398335.858718113]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398335.858801426]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398336.358995711]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398336.359086598]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398336.770382597]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398336.858861765]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398336.858950967]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398337.358766506]: successfully set emergency enabled to 1
