open_mower_ros  | [WARN] [1777227317.264168966]: GPS timeout
open_mower_ros  | [INFO] [1777227317.874612547]: MowingBehavior: CONTINUING
open_mower_ros  | [INFO] [1777227317.876388786]: new actions registered: mower_logic:mowing registered 5 actions.
open_mower_ros  | [INFO] [1777227317.876890716]: successfully registered actions for mower_logic:mowing
open_mower_ros  | [INFO] [1777227317.876927142]: MowingBehavior: Path segment length: 528 poses.
open_mower_ros  | [INFO] [1777227317.876946606]: MowingBehavior: (FIRST POINT)  Moving to path segment starting point
open_mower_ros  | [INFO] [1777227317.890618453]: FTCLocalPlannerROS: Got new global plan with 252 points.
open_mower_ros  | [INFO] [1777227319.688564741]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
open_mower_ros  | [INFO] [1777227319.688670353]: FTCLocalPlannerROS: Switching to state 1
open_mower_ros  | [INFO] [1777227327.764119183]: GPS quality: 0.93
open_mower_ros  | [INFO] [1777227338.264115330]: GPS quality: 0.93
open_mower_ros  | [INFO] [1777227338.321991358]: Got action: mower_logic:mowing/abort_mowing
open_mower_ros  | [INFO] [1777227338.322263953]: got abort mowing command
open_mower_ros  | [INFO] [1777227338.322556586]: Manually pausing semiautomatic task
open_mower_ros  | [INFO] [1777227338.341032180]: - Behaviour.h: abort() called
open_mower_ros  | [INFO] [1777227338.341300812]: Monitoring received new mower_logic config
open_mower_ros  | [INFO] [1777227338.342909512]: new actions registered: mower_logic:mowing registered 5 actions.
open_mower_ros  | [INFO] [1777227338.343586055]: successfully registered actions for mower_logic:mowing
open_mower_ros  | [INFO] [1777227338.346070356]: Got sensor info for sensor on topic Charge Current on topic /xbot_monitoring/sensors/om_charge_current/info
open_mower_ros  | [INFO] [1777227338.346122541]: Got sensor info for sensor on topic Charge State on topic /xbot_monitoring/sensors/om_charge_state/info
open_mower_ros  | [INFO] [1777227338.346145690]: Got sensor info for sensor on topic GPS Accuracy on topic /xbot_monitoring/sensors/om_gps_accuracy/info
open_mower_ros  | [INFO] [1777227338.346231524]: Got sensor info for sensor on topic Left ESC Temp on topic /xbot_monitoring/sensors/om_left_esc_temp/info
open_mower_ros  | [INFO] [1777227338.346281432]: Got sensor info for sensor on topic Mow ESC Temp on topic /xbot_monitoring/sensors/om_mow_esc_temp/info
open_mower_ros  | [INFO] [1777227338.346333229]: Got sensor info for sensor on topic Mow Motor Current on topic /xbot_monitoring/sensors/om_mow_motor_current/info
open_mower_ros  | [INFO] [1777227338.346384451]: Got sensor info for sensor on topic Mow Motor Revolutions on topic /xbot_monitoring/sensors/om_mow_motor_rpm/info
open_mower_ros  | [INFO] [1777227338.346429581]: Got sensor info for sensor on topic Mow Motor Temp on topic /xbot_monitoring/sensors/om_mow_motor_temp/info
open_mower_ros  | [INFO] [1777227338.347288941]: Got sensor info for sensor on topic Right ESC Temp on topic /xbot_monitoring/sensors/om_right_esc_temp/info
