Mosquitto     | 1777306048: Info: running mosquitto as user: mosquitto.
Mosquitto     | 1777306051: New connection from 192.168.0.114:51622 on port 9001.
Mosquitto     | 1777306051: New client connected from 192.168.0.114:51622 as om-client-15706 (p5, c0, k0).
Mosquitto     | 1777306054: New connection from 172.19.0.1:47662 on port 1883.
Mosquitto     | 1777306055: New client connected from 172.19.0.1:47662 as xbot_monitoring (p4, c1, k1000).
Mosquitto     | 1777306252: New connection from 192.168.0.225:64046 on port 9001.
Mosquitto     | 1777306252: New client connected from 192.168.0.225:64046 as om-client-41593 (p5, c0, k0).
Mosquitto     | 1777306254: New connection from 192.168.0.225:64068 on port 9001.
Mosquitto     | 1777306255: New client connected from 192.168.0.225:64068 as om-client-38582 (p5, c0, k0).
Mosquitto     | 1777306415: Client om-client-41593 [192.168.0.225:64046] disconnected: connection closed by client.
Mosquitto     | 1777306415: Client om-client-38582 [192.168.0.225:64068] disconnected: connection closed by client.
Mosquitto     | 1777306483: New connection from 192.168.0.225:64156 on port 9001.
Mosquitto     | 1777306483: New client connected from 192.168.0.225:64156 as om-client-38582 (p5, c0, k0).
Mosquitto     | 1777306483: New connection from 192.168.0.225:64157 on port 9001.
Mosquitto     | 1777306507: Client om-client-38582 [192.168.0.225:64156] disconnected: connection closed by client.
Mosquitto     | 1777306507: Client 192.168.0.225 [192.168.0.225:64157] disconnected: connection closed by client.
Mosquitto     | 1777306528: New connection from 192.168.0.225:64163 on port 9001.
Mosquitto     | 1777306529: New client connected from 192.168.0.225:64163 as om-client-38582 (p5, c0, k0).
Mosquitto     | 1777306726: Client om-client-38582 [192.168.0.225:64163] disconnected: connection closed by client.
Mosquitto     | 1777306727: New connection from 192.168.0.225:64168 on port 9001.
Mosquitto     | 1777306727: New client connected from 192.168.0.225:64168 as om-client-14893 (p5, c0, k0).
Mosquitto     | 1777306738: Client om-client-14893 [192.168.0.225:64168] disconnected: connection closed by client.
Mosquitto     | 1777306759: New connection from 172.19.0.1:55708 on port 9001.
Mosquitto     | 1777306759: New client connected from 172.19.0.1:55708 as om-client-14893 (p5, c0, k0).
Mosquitto     | 1777306772: Client om-client-14893 [172.19.0.1:55708] disconnected: connection closed by client.
app           | ▲ Next.js 16.2.1
app           | - Local:         http://localhost:3000
app           | - Network:       http://0.0.0.0:3000
app           | ✓ Ready in 0ms
open_mower_ros  | [WARN] [1777306795.181731055]: [ID=8] no endpoint for service
open_mower_ros  | [WARN] [1777306795.181745888]: [ID=8] no endpoint for service
open_mower_ros  | [WARN] [1777306795.201891254]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.241885231]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.281913077]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.289878995]: [ID=6] no endpoint for service
open_mower_ros  | [WARN] [1777306795.290045567]: [ID=6] no endpoint for service
open_mower_ros  | [WARN] [1777306795.321852146]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.361853437]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.372953841]: Costmap2DROS transform timeout. Current time: 1777306795.3729, global_pose stamp: 1777306764.4296, tolerance: 0.3000
open_mower_ros  | [WARN] [1777306795.401908302]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.441847112]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.481935421]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.522022822]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.562007983]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.593363549]: [ID=1] no endpoint for service
open_mower_ros  | [WARN] [1777306795.601938627]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.642119694]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.680736573]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.681803377]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.721846242]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.761854162]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.801832842]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.842022798]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.882411141]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.922750280]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777306795.961907209]: [ID=2] no endpoint for service
