open_mower_ros  | [WARN] [1777475175.783013692]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777475175.823011318]: [ID=2] no endpoint for service
open_mower_ros  | [INFO] [1777475175.832176096]: [ID=3] Sending Service Claim
open_mower_ros  | [INFO] [1777475175.832281798]: [ID=8] Sending Service Claim
open_mower_ros  | [INFO] [1777475175.832444869]: >>> [ID=3] Received claim message
open_mower_ros  | [INFO] [1777475175.832480979]: >>> [ID=3] service claimed successfully.
open_mower_ros  | [INFO] [1777475175.832505330]: >>> [ID=3] Service started without requiring configuration
open_mower_ros  | [INFO] [1777475175.832529015]: >>> [ID=8] Received claim message
open_mower_ros  | [INFO] [1777475175.832548719]: >>> [ID=8] service claimed successfully.
open_mower_ros  | [INFO] [1777475175.832568292]: >>> [ID=8] Service started without requiring configuration
open_mower_ros  | [INFO] [1777475175.832596125]: [ID=3] Successfully claimed service
open_mower_ros  | [INFO] [1777475175.832615662]: PJB: Service Connected! ID: 3
open_mower_ros  | [INFO] [1777475175.832662328]: [ID=8] Successfully claimed service
open_mower_ros  | [INFO] [1777475175.832683772]: PJB: Service Connected! ID: 8
open_mower_ros  | [WARN] [1777475175.863041980]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777475175.903032161]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777475175.943017491]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777475175.983030690]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777475175.992150895]: [ID=1] no endpoint for service
open_mower_ros  | [WARN] [1777475175.996201414]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777475176.023006429]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777475176.062997819]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777475176.103023005]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777475176.143072894]: [ID=2] no endpoint for service
open_mower_ros  | [WARN] [1777475176.183034432]: [ID=2] no endpoint for service
open_mower_ros  | [INFO] [1777475176.184845029]: Found new service (Type: GpsService, ID: 6, endpoint: 172.16.78.150:49153)
open_mower_ros  | [INFO] [1777475176.185432278]: Found new service (Type: InputService, ID: 7, endpoint: 172.16.78.150:49153)
open_mower_ros  | [INFO] [1777475176.187068841]: Found new service (Type: DiffDriveService, ID: 2, endpoint: 172.16.78.150:49153)
open_mower_ros  | [INFO] [1777475176.187482130]: Found new service (Type: EmergencyService, ID: 1, endpoint: 172.16.78.150:49153)
open_mower_ros  | [INFO] [1777475176.187735384]: Found new service (Type: ImuService, ID: 4, endpoint: 172.16.78.150:49153)
open_mower_ros  | [INFO] [1777475176.308606797]: Found new service (Type: PowerService, ID: 5, endpoint: 172.16.78.150:49153)
open_mower_ros  | [WARN] [1777475176.337207633]: Costmap2DROS transform timeout. Current time: 1777475176.3372, global_pose stamp: 1777474784.1165, tolerance: 0.3000
open_mower_ros  | [WARN] [1777475176.496020713]: om_mower_logic: EMERGENCY pose values stopped. dt was: 392.379328670
open_mower_ros  | [INFO] [1777475176.846397912]: [ID=1] Sending Service Claim
open_mower_ros  | [INFO] [1777475176.846483651]: [ID=2] Sending Service Claim
open_mower_ros  | [INFO] [1777475176.846530483]: [ID=4] Sending Service Claim
open_mower_ros  | [INFO] [1777475176.846564372]: [ID=5] Sending Service Claim
open_mower_ros  | [INFO] [1777475176.846596297]: [ID=6] Sending Service Claim
open_mower_ros  | [INFO] [1777475176.846633963]: >>> [ID=1] Received claim message
open_mower_ros  | [INFO] [1777475176.846677166]: >>> [ID=1] service claimed successfully.
open_mower_ros  | [INFO] [1777475176.846700721]: >>> [ID=1] Service started without requiring configuration
open_mower_ros  | [INFO] [1777475176.846745665]: >>> [ID=2] Received claim message
open_mower_ros  | [INFO] [1777475176.846764757]: >>> [ID=2] service claimed successfully.
