"Name","Location","Type"
"ABP1_PeripheralClockEnableReg","080021d8","Function"
"ActiveFL_Command","08029da8","Data Label"
"ActiveFL_Command","08029e48","Data Label"
"ActiveFLBuffer","0800445c","Data Label"
"ActiveFLBuffer","080042fc","Data Label"
"ADC1","40012400","Data Label"
"ADC2","40012800","Data Label"
"ADC3","40013c00","Data Label"
"AFIO","080018c8","Data Label"
"AFIO","40010000","Data Label"
"AFIO","08019980","Data Label"
"AFIO_FUN_0800183c","0800183c","Function"
"AFIO_FUN_080198f4","080198f4","Function"
"AFL_CalcChecksum","08003c98","Function"
"APB2_ResetDevice","08023108","Function"
"BKP","40006c04","Data Label"
"BusFault","00000014","Label"
"CAN","40006400","Data Label"
"caseD_0","0802f90e","Instruction Label"
"caseD_0","0802fab0","Instruction Label"
"caseD_0","0801c720","Instruction Label"
"caseD_0","0801a122","Instruction Label"
"caseD_0","0802ef74","Instruction Label"
"caseD_0","08013078","Instruction Label"
"caseD_0","08004676","Instruction Label"
"caseD_0","080124a0","Instruction Label"
"caseD_0","0802c46e","Instruction Label"
"caseD_0","0801d682","Instruction Label"
"caseD_0","0800b86a","Instruction Label"
"caseD_0","08012366","Instruction Label"
"caseD_0","0800b59e","Instruction Label"
"caseD_0","0802e20a","Instruction Label"
"caseD_0","0800dfa8","Instruction Label"
"caseD_0","08025908","Instruction Label"
"caseD_0","0802e154","Instruction Label"
"caseD_0","08002528","Instruction Label"
"caseD_0","0800c64a","Instruction Label"
"caseD_0","08023e68","Instruction Label"
"caseD_0","0801a9fa","Instruction Label"
"caseD_0","08026666","Instruction Label"
"caseD_0","08017a20","Instruction Label"
"caseD_0","0800c81e","Instruction Label"
"caseD_0","08021b36","Instruction Label"
"caseD_0","08004592","Instruction Label"
"caseD_0","08004aa4","Instruction Label"
"caseD_0","0800ecb6","Instruction Label"
"caseD_0","080177ea","Instruction Label"
"caseD_0","0802c62a","Instruction Label"
"caseD_0","0800bfda","Instruction Label"
"caseD_0","080049c0","Instruction Label"
"caseD_0","0802e3f2","Instruction Label"
"caseD_0","0800fbee","Instruction Label"
"caseD_0","0801c7f4","Instruction Label"
"caseD_0","0801ade6","Instruction Label"
"caseD_0","08014df6","Instruction Label"
"caseD_0","080292aa","Instruction Label"
"caseD_0","08024fb4","Instruction Label"
"caseD_0","0801fd52","Instruction Label"
"caseD_1","0801308c","Instruction Label"
"caseD_1","0800b5a8","Instruction Label"
"caseD_1","080045aa","Instruction Label"
"caseD_1","08021b52","Instruction Label"
"caseD_1","0800fb14","Instruction Label"
"caseD_1","0801d684","Instruction Label"
"caseD_1","0800dfe8","Instruction Label"
"caseD_1","0801c7f6","Instruction Label"
"caseD_1","08029312","Instruction Label"
"caseD_1","0801ae1e","Instruction Label"
"caseD_1","080177f0","Instruction Label"
"caseD_1","0800c05c","Instruction Label"
"caseD_1","0802f918","Instruction Label"
"caseD_1","0802e164","Instruction Label"
"caseD_1","0802e452","Instruction Label"
"caseD_1","0801aab6","Instruction Label"
"caseD_1","0800ed1a","Instruction Label"
"caseD_1","080123d2","Instruction Label"
"caseD_1","080121cc","Instruction Label"
"caseD_1","08004698","Instruction Label"
"caseD_1","0802e21a","Instruction Label"
"caseD_1","08002534","Instruction Label"
"caseD_1","0802c496","Instruction Label"
"caseD_1","0802674a","Instruction Label"
"caseD_1","0801ffa0","Instruction Label"
"caseD_1","08025918","Instruction Label"
"caseD_1","0800c654","Instruction Label"
"caseD_1","0800c7e6","Instruction Label"
"caseD_1","0802f026","Instruction Label"
"caseD_1","0801a174","Instruction Label"
"caseD_1","0801c732","Instruction Label"
"caseD_1","0801b9ae","Instruction Label"
"caseD_1","0802c64c","Instruction Label"
"caseD_1","08023e74","Instruction Label"
"caseD_1","080049d8","Instruction Label"
"caseD_1","08017930","Instruction Label"
"caseD_1","08024ff4","Instruction Label"
"caseD_1","08014df8","Instruction Label"
"caseD_1","08004ac8","Instruction Label"
"caseD_1","0802fa86","Instruction Label"
"caseD_1","0800b8b2","Instruction Label"
"caseD_10","0801784a","Instruction Label"
"caseD_10","0802fb14","Instruction Label"
"caseD_10","0800fb92","Instruction Label"
"caseD_10","080130fe","Instruction Label"
"caseD_10","0800c89e","Instruction Label"
"caseD_11","0800c8ac","Instruction Label"
"caseD_11","0802fb1a","Instruction Label"
"caseD_11","08013110","Instruction Label"
"caseD_11","0800fb9a","Instruction Label"
"caseD_11","08017850","Instruction Label"
"caseD_12","0802fb20","Instruction Label"
"caseD_12","0800fb9c","Instruction Label"
"caseD_12","0800c8b2","Instruction Label"
"caseD_12","08013116","Instruction Label"
"caseD_12","08017856","Instruction Label"
"caseD_13","0801311c","Instruction Label"
"caseD_13","0801785c","Instruction Label"
"caseD_13","0802fb38","Instruction Label"
"caseD_13","0800c8c0","Instruction Label"
"caseD_13","0800fba6","Instruction Label"
"caseD_14","0802fb3e","Instruction Label"
"caseD_14","0800fbb0","Instruction Label"
"caseD_14","08013122","Instruction Label"
"caseD_14","08017868","Instruction Label"
"caseD_14","0800c8c6","Instruction Label"
"caseD_15","0800c8d2","Instruction Label"
"caseD_15","0800fbba","Instruction Label"
"caseD_15","08017862","Instruction Label"
"caseD_15","08013128","Instruction Label"
"caseD_15","0802fb52","Instruction Label"
"caseD_16","0800c8d8","Instruction Label"
"caseD_16","0800fbc4","Instruction Label"
"caseD_16","0801786e","Instruction Label"
"caseD_16","0802fb58","Instruction Label"
"caseD_16","0801312e","Instruction Label"
"caseD_17","0802fb5e","Instruction Label"
"caseD_17","0800fbce","Instruction Label"
"caseD_17","0800c8de","Instruction Label"
"caseD_17","08013134","Instruction Label"
"caseD_17","08017874","Instruction Label"
"caseD_18","0801787a","Instruction Label"
"caseD_18","0800fbda","Instruction Label"
"caseD_18","0802fb64","Instruction Label"
"caseD_18","0801313a","Instruction Label"
"caseD_18","0800c8e4","Instruction Label"
"caseD_19","0802fb6a","Instruction Label"
"caseD_19","0800fbe4","Instruction Label"
"caseD_19","08013140","Instruction Label"
"caseD_19","0800c8ea","Instruction Label"
"caseD_1a","08013146","Instruction Label"
"caseD_1a","0802fb70","Instruction Label"
"caseD_1a","0800c8f0","Instruction Label"
"caseD_1b","0800c8fc","Instruction Label"
"caseD_1b","0802fb7c","Instruction Label"
"caseD_1b","0801314c","Instruction Label"
"caseD_1b","0802a6ec","Instruction Label"
"caseD_1c","0802a6f2","Instruction Label"
"caseD_1c","0800c902","Instruction Label"
"caseD_1c","0802fb82","Instruction Label"
"caseD_1c","08013152","Instruction Label"
"caseD_1d","0802a6f8","Instruction Label"
"caseD_1d","08013158","Instruction Label"
"caseD_1d","0802fb8e","Instruction Label"
"caseD_1e","0802a6fe","Instruction Label"
"caseD_1e","0801315e","Instruction Label"
"caseD_1f","08013164","Instruction Label"
"caseD_1f","0802a5de","Instruction Label"
"caseD_2","0800c656","Instruction Label"
"caseD_2","0802e176","Instruction Label"
"caseD_2","080177f6","Instruction Label"
"caseD_2","080121e2","Instruction Label"
"caseD_2","08013092","Instruction Label"
"caseD_2","0802c66e","Instruction Label"
"caseD_2","0802e22c","Instruction Label"
"caseD_2","080045c2","Instruction Label"
"caseD_2","080123ea","Instruction Label"
"caseD_2","0800c7ec","Instruction Label"
"caseD_2","08025022","Instruction Label"
"caseD_2","080049f0","Instruction Label"
"caseD_2","08004aec","Instruction Label"
"caseD_2","0801b9c0","Instruction Label"
"caseD_2","08017a20","Instruction Label"
"caseD_2","0802937e","Instruction Label"
"caseD_2","0802fa8c","Instruction Label"
"caseD_2","0802591a","Instruction Label"
"caseD_2","0801c744","Instruction Label"
"caseD_2","0802674c","Instruction Label"
"caseD_2","08002540","Instruction Label"
"caseD_2","0801af0a","Instruction Label"
"caseD_2","0802e5e6","Instruction Label"
"caseD_2","0800ed90","Instruction Label"
"caseD_2","0802f15c","Instruction Label"
"caseD_2","080200b4","Instruction Label"
"caseD_2","0800b9c4","Instruction Label"
"caseD_2","0800c164","Instruction Label"
"caseD_2","0800e428","Instruction Label"
"caseD_2","08021b5c","Instruction Label"
"caseD_2","0800b5b4","Instruction Label"
"caseD_2","0801c7f8","Instruction Label"
"caseD_2","0802c4b0","Instruction Label"
"caseD_2","08023e80","Instruction Label"
