open_mower_ros  | [INFO] [1776132704.211092903]: GPS quality: 0.84
open_mower_ros  | [INFO] [1776132706.671574235]: MowingBehavior: (MOW) Progress: 310/2046
open_mower_ros  | [INFO] [1776132709.211181011]: Docking: Battery average voltage low: 23.9725
open_mower_ros  | [INFO] [1776132709.211324215]: - Behaviour.h: abort() called
open_mower_ros  | [INFO] [1776132709.265580066]: MowingBehavior: (MOW) ABORT was requested - stopping path execution.
open_mower_ros  | [INFO] [1776132709.265786455]: >> MowingBehavior: (MOW) PlannerGetProgress currentMowingPathIndex = 315 of 2046
open_mower_ros  | [INFO] [1776132709.265893011]: >>> State: Active <<<
open_mower_ros  | [INFO] [1776132709.265996085]: MowingBehavior: (MOW) PAUSED due to MBF Error at 315
open_mower_ros  | [INFO] [1776132709.268531307]: Cancel action "exe_path"
open_mower_ros  | [WARN] [1776132709.270263770]: FTCLocalPlannerROS: FTC planner was cancelled.
open_mower_ros  | [INFO] [1776132709.271881270]: Controller will take care of stopping
open_mower_ros  | [INFO] [1776132709.274232715]: new actions registered: mower_logic:mowing registered 5 actions.
open_mower_ros  | [INFO] [1776132709.276989159]: successfully registered actions for mower_logic:mowing
open_mower_ros  | [INFO] [1776132709.284360992]: new actions registered: mower_logic:mowing registered 5 actions.
open_mower_ros  | [INFO] [1776132709.285706363]: successfully registered actions for mower_logic:mowing
open_mower_ros  | [INFO] [1776132709.285839900]:
open_mower_ros  | [INFO] [1776132709.285917529]:
open_mower_ros  | [INFO] [1776132709.286002326]: --------------------------------------
open_mower_ros  | [INFO] [1776132709.286067252]: - Entered state: DOCKING
open_mower_ros  | [INFO] [1776132709.286815252]: --------------------------------------
open_mower_ros  | [INFO] [1776132709.292206233]: Getting Docking Point
open_mower_ros  | [INFO] [1776132709.297514844]: new actions registered: mower_logic:docking registered 1 actions.
open_mower_ros  | [INFO] [1776132709.298628918]: successfully registered actions for mower_logic:docking
open_mower_ros  | [WARN] [1776132709.298828215]: Waiting for good GPS
open_mower_ros  | [WARN] [1776132709.711127844]: #### om_mower_logic: setMowerEnabled(0, 1) call
open_mower_ros  | [INFO] [1776132709.717033307]: Setting mow enabled to 0
open_mower_ros  | [WARN] [1776132709.718215548]: #### om_mower_logic: setMowerEnabled(0, 1) call completed within 0.00712382s
open_mower_ros  | [INFO] [1776132709.718009214]: successfully set mower enabled to 0 (direction 1)
open_mower_ros  | [INFO] [1776132710.299076047]: Calculating approach path
open_mower_ros  | [INFO] [1776132710.368193621]: FTCLocalPlannerROS: Got new global plan with 631 points.
open_mower_ros  | [INFO] [1776132713.056210064]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
open_mower_ros  | [INFO] [1776132713.056318805]: FTCLocalPlannerROS: Switching to state 1
open_mower_ros  | [INFO] [1776132714.711034730]: GPS quality: 0.845
open_mower_ros  | [INFO] [1776132724.711120409]: GPS quality: 0.82
open_mower_ros  | [INFO] [1776132735.211088792]: GPS quality: 0.815
open_mower_ros  | [INFO] [1776132745.211122323]: GPS quality: 0.855
open_mower_ros  | [ERROR] [1776132749.662705468]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [INFO] [1776132755.711124983]: GPS quality: 0.815
open_mower_ros  | [INFO] [1776132761.706329813]: FTCLocalPlannerROS: switching planner to position mode
open_mower_ros  | [INFO] [1776132761.706526720]: FTCLocalPlannerROS: Switching to state 2
open_mower_ros  | [INFO] [1776132761.756321980]: FTCLocalPlannerROS: Reached goal position.
open_mower_ros  | [INFO] [1776132761.756506294]: FTCLocalPlannerROS: Switching to state 3
open_mower_ros  | [INFO] [1776132763.056317016]: FTCLocalPlannerROS: POST_ROTATE finished.
open_mower_ros  | [INFO] [1776132763.056500220]: FTCLocalPlannerROS: Switching to state 4
open_mower_ros  | [INFO] [1776132763.106546460]: Action "move_base" succeeded!
open_mower_ros  | [INFO] [1776132763.199552053]: Executing Docking Approach
open_mower_ros  | [INFO] [1776132763.231669960]: FTCLocalPlannerROS: Got new global plan with 11 points.
open_mower_ros  | [INFO] [1776132763.231971682]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
open_mower_ros  | [INFO] [1776132763.232205720]: FTCLocalPlannerROS: Switching to state 1
open_mower_ros  | [INFO] [1776132765.711152366]: GPS quality: 0.81
open_mower_ros  | [INFO] [1776132769.917416993]: FTCLocalPlannerROS: switching planner to position mode
open_mower_ros  | [INFO] [1776132769.917624734]: FTCLocalPlannerROS: Switching to state 2
open_mower_ros  | [INFO] [1776132769.967293678]: FTCLocalPlannerROS: Reached goal position.
open_mower_ros  | [INFO] [1776132769.967487308]: FTCLocalPlannerROS: Switching to state 3
open_mower_ros  | [INFO] [1776132770.017595530]: FTCLocalPlannerROS: POST_ROTATE finished.
open_mower_ros  | [INFO] [1776132770.017795438]: FTCLocalPlannerROS: Switching to state 4
open_mower_ros  | [INFO] [1776132770.104479734]: successfully set GPS to 0
open_mower_ros  | [INFO] [1776132770.133181123]: FTCLocalPlannerROS: Got new global plan with 20 points.
open_mower_ros  | [INFO] [1776132770.133442475]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
open_mower_ros  | [INFO] [1776132770.133578660]: FTCLocalPlannerROS: Switching to state 1
open_mower_ros  | [INFO] [1776132782.804939189]: Got a voltage of 25.9931 V. Cancelling docking.
open_mower_ros  | [INFO] [1776132783.005850874]: Cancel action "exe_path"
open_mower_ros  | [INFO] [1776132783.006195541]: Controller will take care of stopping
open_mower_ros  | [WARN] [1776132783.006072078]: FTCLocalPlannerROS: FTC planner was cancelled.
open_mower_ros  | [INFO] [1776132783.011400078]: new actions registered: mower_logic:docking registered 1 actions.
open_mower_ros  | [INFO] [1776132783.013229226]: successfully registered actions for mower_logic:docking
open_mower_ros  | [INFO] [1776132783.013410393]:
open_mower_ros  | [INFO] [1776132783.013478189]:
open_mower_ros  | [INFO] [1776132783.013541189]: --------------------------------------
open_mower_ros  | [INFO] [1776132783.013603485]: - Entered state: IDLE
open_mower_ros  | [INFO] [1776132783.013667541]: --------------------------------------
open_mower_ros  | [INFO] [1776132783.019170023]: new actions registered: mower_logic:idle registered 2 actions.
open_mower_ros  | [INFO] [1776132783.021059152]: successfully registered actions for mower_logic:idle
open_mower_ros  | [INFO] [1776132783.028091134]: Got getMowingArea call with index: 0
open_mower_ros  | [INFO] [1776132783.034376578]: Getting Docking Point
open_mower_ros  | [INFO] [1776132783.040189948]: successfully set GPS to 0
open_mower_ros  | [ERROR] [1776132816.146283021]: [driver_gps] waited 18 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [INFO] [1776132835.776932176]: NTRIP: socket read failed: Connection reset by peer
open_mower_ros  | [INFO] [1776132846.787982077]: NTRIP: unable to connect to any resolved address
open_mower_ros  | [INFO] [1776132858.198931089]: NTRIP: unable to connect to any resolved address
open_mower_ros  | [INFO] [1776132870.610815637]: NTRIP: unable to connect to any resolved address
open_mower_ros  | [INFO] [1776132884.322955333]: NTRIP: unable to connect to any resolved address
open_mower_ros  | [INFO] [1776132894.258968345]: NTRIP: connected to caster
open_mower_ros  | [INFO] [1776132905.191758950]: NTRIP: connection attempt 17
open_mower_ros  | [INFO] [1776132927.236631844]: NTRIP: connection attempt 18
open_mower_ros  | [INFO] [1776132967.056156635]: NTRIP: connection attempt 19
open_mower_ros  | [INFO] [1776133142.487718605]: NTRIP: socket read failed: Connection reset by peer
open_mower_ros  | [INFO] [1776133153.498947542]: NTRIP: unable to connect to any resolved address
open_mower_ros  | [INFO] [1776133164.909225887]: NTRIP: unable to connect to any resolved address
open_mower_ros  | [INFO] [1776133177.120054695]: NTRIP: unable to connect to any resolved address
open_mower_ros  | [INFO] [1776133190.530967650]: NTRIP: unable to connect to any resolved address
open_mower_ros  | [INFO] [1776133195.635380480]: NTRIP: connection attempt 24
open_mower_ros  | [INFO] [1776133205.644435308]: NTRIP: unable to connect to any resolved address
open_mower_ros  | [INFO] [1776133212.949959544]: NTRIP: connection attempt 25
open_mower_ros  | [INFO] [1776133224.368137408]: NTRIP: connection attempt 26
open_mower_ros  | [INFO] [1776133238.737872084]: NTRIP: connection attempt 27
open_mower_ros  | [INFO] [1776133250.958157021]: NTRIP: connection attempt 28
open_mower_ros  | [INFO] [1776133272.708453138]: NTRIP: connection attempt 29
open_mower_ros  | [ERROR] [1776133283.184407576]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133303.378279731]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133366.201088008]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133393.301012733]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133394.305976454]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133441.262589241]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133444.211261721]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133445.255313276]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133454.161307882]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133505.245019814]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133534.397070093]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133543.357795847]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133544.521552254]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133562.407980558]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133582.307150139]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133599.617871573]: [driver_gps] waited 25 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133633.420572164]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133634.334821626]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133639.596976493]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133648.133159470]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133665.299195923]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133685.203546059]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133694.344425831]: [driver_gps] waited 13 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133695.363366053]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133724.260363091]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133736.259300695]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133785.334861147]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133815.253932018]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776133843.357851168]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
